Source,Target,Type,Id,Label,timeset,Weight
333,315,Directed,1326,,,0.205307
334,316,Directed,1439,,,2.90596
442,424,Directed,2249,,,0.73127
541,523,Directed,3297,,,0.932149
332,315,Directed,1183,,,0.350547
333,316,Directed,1301,,,1.723593
339,322,Directed,1929,,,0.393624
327,311,Directed,886,,,1.98595
331,315,Directed,1016,,,1.290855
332,316,Directed,1122,,,1.302112
337,321,Directed,1866,,,0.247463
326,311,Directed,877,,,0.497129
327,312,Directed,888,,,0.822343
331,316,Directed,1017,,,0.961209
337,322,Directed,1881,,,0.543888
339,324,Directed,1906,,,0.260903
325,311,Directed,715,,,6.189679
327,313,Directed,889,,,1.537874
336,322,Directed,1711,,,0.64063
339,325,Directed,1907,,,0.77756
324,311,Directed,695,,,0.694343
325,312,Directed,719,,,1.849489
327,314,Directed,890,,,0.263798
335,322,Directed,1595,,,0.656302
339,326,Directed,1930,,,0.279681
624,611,Directed,3686,,,0.207077
324,312,Directed,698,,,0.356351
325,313,Directed,721,,,2.04603
334,322,Directed,1477,,,0.558243
335,323,Directed,1622,,,0.253442
336,324,Directed,1741,,,0.83832
339,327,Directed,1910,,,0.304369
454,442,Directed,2309,,,0.221638
533,521,Directed,3269,,,0.287136
322,311,Directed,670,,,0.273781
323,312,Directed,690,,,0.223049
324,313,Directed,699,,,0.399103
327,316,Directed,891,,,1.776215
333,322,Directed,1302,,,0.979405
334,323,Directed,1441,,,0.204952
335,324,Directed,1623,,,0.430855
336,325,Directed,1712,,,4.190782
453,442,Directed,2293,,,0.206099
492,481,Directed,2744,,,0.748408
532,521,Directed,3238,,,0.33727
321,311,Directed,619,,,0.209167
322,312,Directed,671,,,0.247845
324,314,Directed,700,,,0.212166
325,315,Directed,754,,,0.8784
332,322,Directed,1101,,,3.119894
333,323,Directed,1273,,,0.651583
335,325,Directed,1596,,,2.687579
336,326,Directed,1790,,,0.584794
337,327,Directed,1882,,,0.210233
533,523,Directed,3270,,,0.519662
221,212,Directed,108,,,0.424214
321,312,Directed,620,,,0.226896
322,313,Directed,672,,,0.519277
324,315,Directed,701,,,0.450256
325,316,Directed,722,,,1.806555
331,322,Directed,1018,,,0.47633
333,324,Directed,1303,,,0.901738
334,325,Directed,1442,,,1.648481
335,326,Directed,1597,,,0.647187
336,327,Directed,1715,,,1.535129
451,442,Directed,2269,,,0.763003
521,512,Directed,2906,,,0.232866
321,313,Directed,621,,,0.544325
331,323,Directed,1049,,,0.45054
332,324,Directed,1148,,,0.639836
333,325,Directed,1274,,,6.211541
335,327,Directed,1598,,,2.268083
339,331,Directed,1911,,,0.57959
492,484,Directed,2747,,,0.56255
519,511,Directed,2848,,,0.44984
531,523,Directed,3166,,,1.105054
533,525,Directed,3272,,,0.4341
321,314,Directed,623,,,0.20081
323,316,Directed,691,,,0.21115
331,324,Directed,1050,,,0.623696
332,325,Directed,1102,,,3.668108
333,326,Directed,1278,,,0.963988
334,327,Directed,1443,,,4.042495
339,332,Directed,1913,,,0.295118
488,481,Directed,2654,,,0.222173
327,321,Directed,892,,,0.227391
331,325,Directed,1019,,,2.362589
332,326,Directed,1103,,,0.203514
333,327,Directed,1279,,,1.267441
337,331,Directed,1867,,,0.499764
339,333,Directed,1914,,,1.575819
487,481,Directed,2549,,,0.202647
316,311,Directed,550,,,3.07677
327,322,Directed,893,,,1.239805
331,326,Directed,1083,,,0.26644
332,327,Directed,1169,,,0.977113
336,331,Directed,1768,,,1.495963
337,332,Directed,1869,,,3.543762
339,334,Directed,1918,,,0.23608
488,483,Directed,2655,,,1.463471
315,311,Directed,472,,,2.291776
316,312,Directed,572,,,0.560323
326,322,Directed,880,,,0.250413
327,323,Directed,894,,,0.278491
331,327,Directed,1021,,,1.143114
335,331,Directed,1631,,,2.040526
336,332,Directed,1716,,,1.968641
337,333,Directed,1890,,,0.612204
339,335,Directed,1919,,,0.549792
